id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
#meta +id,#meta +code,#loc +airport +type,#loc +airport +name,#geo +lat,#geo +lon,#geo +elevation +ft,#region +continent +code,#country +name,#country +code +iso2,#adm1 +name,#adm1 +code +iso,#adm1 +code +local,#loc +municipality +name,#status +scheduled,#loc +airport +code +gps,#loc +airport +code +iata,#loc +airport +code +local,#meta +url +airport,#meta +url +wikipedia,#meta +keywords,#meta +score,#date +updated
1990,CYYZ,large_airport,Lester B. Pearson International Airport,43.67720032,-79.63059998,569,NA,Canada,CA,Ontario,CA-ON,ON,Toronto,1,CYYZ,YYZ,YYZ,http://www.gtaa.com/,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,"YTO, Toronto International Airport, Malton",1040275,2009-10-15T13:44:39+00:00
1941,CYVR,large_airport,Vancouver International Airport,49.19390106,-123.1839981,14,NA,Canada,CA,British Columbia,CA-BC,BC,Vancouver,1,CYVR,YVR,,http://www.yvr.ca/,https://en.wikipedia.org/wiki/Vancouver_International_Airport,,1018875,2013-07-22T11:09:16+00:00
1928,CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,118,NA,Canada,CA,Quebec,CA-QC,QC,Montréal,1,CYUL,YUL,YUL,http://www.admtl.com/passager/Home.aspx,https://en.wikipedia.org/wiki/Montr%C3%A9al-Pierre_Elliott_Trudeau_International_Airport,"YMQ, Dorval Airport",51875,2014-03-16T22:14:44+00:00
1973,CYYC,large_airport,Calgary International Airport,51.11389923,-114.0199966,3557,NA,Canada,CA,Alberta,CA-AB,AB,Calgary,1,CYYC,YYC,,http://www.calgaryairport.com/,https://en.wikipedia.org/wiki/Calgary_International_Airport,McCall Field,51275,2014-03-18T23:08:53+00:00
1840,CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,374,NA,Canada,CA,Ontario,CA-ON,ON,Ottawa,1,CYOW,YOW,YOW,https://yow.ca/,https://en.wikipedia.org/wiki/Ottawa_Macdonald%E2%80%93Cartier_International_Airport,"Uplands, UUP, CUUP",1275,2022-11-06T16:37:56+00:00
1926,CYTZ,medium_airport,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,252,NA,Canada,CA,Ontario,CA-ON,ON,Toronto,1,CYTZ,YTZ,,http://www.torontoport.com/airport.aspx,https://en.wikipedia.org/wiki/Toronto_City_Centre_Airport,"YTO, Toronto Island Airport",750,2016-02-10T17:34:10+00:00
1717,CYEG,large_airport,Edmonton International Airport,53.3097,-113.580002,2373,NA,Canada,CA,Alberta,CA-AB,AB,Edmonton,1,CYEG,YEG,CYEG,http://www.edmontonairports.com/,https://en.wikipedia.org/wiki/Edmonton_International_Airport,,1475,2023-02-26T00:11:13+00:00
1946,CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868,783,NA,Canada,CA,Manitoba,CA-MB,MB,Winnipeg,1,CYWG,YWG,YWG,http://www.waa.ca/,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport,CFB Winnipeg,1275,2014-03-18T21:49:35+00:00
1770,CYHZ,large_airport,Halifax / Stanfield International Airport,44.88079834,-63.50859833,477,NA,Canada,CA,Nova Scotia,CA-NS,NS,Halifax,1,CYHZ,YHZ,,http://www.hiaa.ca/,https://en.wikipedia.org/wiki/Halifax_International_Airport,Robert L. Stanfield International Airport,1275,2010-09-27T23:27:43+00:00
1864,CYQB,large_airport,Quebec Jean Lesage International Airport,46.7911,-71.393303,244,NA,Canada,CA,Quebec,CA-QC,QC,Quebec,1,CYQB,YQB,YQB,http://www.aeroportdequebec.com/,https://en.wikipedia.org/wiki/Qu%C3%A9bec/Jean_Lesage_International_Airport,Quebec City,1050,2021-11-20T16:11:26+00:00
1979,CYYJ,large_airport,Victoria International Airport,48.6469,-123.426003,63,NA,Canada,CA,British Columbia,CA-BC,BC,Victoria,1,CYYJ,YYJ,,http://www.victoriaairport.com/,https://en.wikipedia.org/wiki/Victoria_International_Airport,,1000,2023-01-16T18:46:26+00:00
1968,CYXU,medium_airport,London Airport,43.035599,-81.1539,912,NA,Canada,CA,Ontario,CA-ON,ON,London,1,CYXU,YXU,,http://www.londonairport.on.ca/,https://en.wikipedia.org/wiki/London_International_Airport,,750,2016-02-09T10:45:25+00:00
1763,CYHM,medium_airport,John C. Munro Hamilton International Airport,43.17359924,-79.93499756,780,NA,Canada,CA,Ontario,CA-ON,ON,Hamilton,1,CYHM,YHM,,http://www.flyhi.ca/,https://en.wikipedia.org/wiki/Hamilton/John_C._Munro_International_Airport,Mount Hope Airport,750,2010-09-15T17:25:50+00:00
1875,CYQR,medium_airport,Regina International Airport,50.43190002,-104.6660004,1894,NA,Canada,CA,Saskatchewan,CA-SK,SK,Regina,1,CYQR,YQR,,,https://en.wikipedia.org/wiki/Regina_International_Airport,"YQR, Roland J. Groome International",750,2008-06-13T14:30:04+00:00
1808,CYLW,medium_airport,Kelowna International Airport,49.9561,-119.377998,1421,NA,Canada,CA,British Columbia,CA-BC,BC,Kelowna,1,CYLW,YLW,,http://www.kelowna.ca/CM/Page68.aspx,https://en.wikipedia.org/wiki/Kelowna_International_Airport,"Kelowna, Okanagan",750,2022-01-09T11:16:48+00:00
